tweet	sarcasm	sentiment
نصيحه ما عمرك اتنزل لعبة سوبر ماريو مش زي ما كنّا متوقعين الله يرحم ايامات السيقا والفاميلي #SuperMarioRun	0	0
شوال الفلوس سويرس مشغول اوى اليومين دول بقناة الجزيرة ونازل شتيمة وتريقه فيها وفى ضيوفها خدك بيوجعك اوى ياشوال	1	0
الأمين العام للأمم المتحدة: بشار الأسد قتل 300 ألف شخص فى سوريا https://t.co/KMXrqNovgE	0	0
"حسبنا الله ونعم الوكيل "" #انتخبوا_العرص #بيقولك_أعرف_بلدك #الحرية_للجدعان ناس عا…"	1	0
RT @isharatidriss: ٣٠)#امريكا_ومحاربة_الارهاب الذي صنعتة لمواصلة الكيد والحقد الذي يملاء قلوب دول الكفر علي الاسلام والمسلمين( يا ايها الذي…	0	0
على أي اساس سواقين #اوبر يعطون الراكب تقييم ؟ انا طبيعتي ماتكلم ولا اسولف مع السواقين حتى سواقي الخاص اقوله… — https://t.co/QEgjafZfrO	0	0
RT @al_rakkad: مهما كابر البعض .. الارجنتين بحاجه ماسه الى هذا الرجل !من دونه نتائج سيئه جدًا .. الارجنتين من دون ميسي لاشيء .. https://…	0	0
الأسئلة التي هربنا منها أيام المجلس العسكري لا زالت تطاردنا وستظل إلى أن نواجهها ونجيب عليها	0	0
عليهم لعنة الله لن تضيع دماء الابرياء سوف تحل لعنة السماء على ال سعود المجرمين ومن حالفهم #الضنيه #Christmas #وينن https://t.co/rpMV6wHzSu	0	0
#الحوثي #المخلوع عجباً ل #كيري و #قابوس كيف يتجاهلاالقرار٢٢١٦ الصادرمن مجلس الأمن ومحاولة الالتفاف عليه؟هل هذه الحياديةوالسعي لمصلحة #اليمن	1	0
شغل جامد 👌👍#MannequinChallenge https://t.co/r0aO699OxP	0	1
#توفيق_عكاشة بيقول على هيفا ولية ناشفة امال حياة الدرديري بتاعتك دي ايه ؟؟ يافلاح ميت الغرقا ياحماررر	1	0
#حلب #سورياو ايه مقابل ال بتعمله #روسيا في سورياكل الروس ال بيتقتلوا و.كل طلعة جويةاكيد مش لله و سوريا و بشار	0	0
كل عام وأنتم بخير وكل منا في سلام مع نفسه ومع الغير وفي وطن يتسع للجميعمازالت قناعتي أن شباب مصر الثورة هم الحل والأمل:فكر خلاق وقيادة فتية	0	1
@nsalmk ونيكي? يمه امزح  لاجد وربي بيونسيه هي الي وحيده تظبط هالشي	0	0
مقال رائع لخالد منتصر	0	1
@MajdKanaann اللجان الثوريه هي عصابه تابعه لايران وامريكا وبريطانيا زي حقه حزب الله لبنان وعمهم الكبير نتن ياهو الكلب والله يسترع المسلمين	1	0
"#غوتشي ""فلورا"" النسائيمع نغمات عطرية أكثر عمقاً وجاذبيةاحصلي عليه من #نقطة_الأناقة الآن في #أملج https://t.co/bM0GjfImCN"	0	1
عشرات الجرحى في احتجاجات على مشروع لأنبوب نفط في الولايات المتحدة https://t.co/Um1sVbYzS1 #سبوتنيك #فلسطين #القدس	0	0
تصور يا حفتر عملية مثل بنيان مرصوص أعتمادهم علي الله !!لا أبناء زايد و لا بوتن و لا فرنسا و لا داعش !!فهل يقوي أحد أن يغلب الله ☝	1	1
زينة الميلاد بجبيل الحلوة ❤️#jbeil #livelovelebanon #christmas #byblos #livelovebyblos #lebanon… https://t.co/eA9RnTcRBS	0	1
كذبة حقيرة الاهرام العربي:مرسي طبع 65 مليار جنيه والبنك المركزى يأسف ويستنكر ويرفض التعقيب	0	0
RT @amer_alkubaisi: حيدر العبادي حذف منشور انتقاد أردوغان من الفيس بوك ، وربما بعد قليل يحذفه من تويتر، لنتابع اللعبة.	1	0
٢١ نوفمبر المجد التّليد لرقي فن فيروز ❤️🎼#فيروز https://t.co/v2JvjGAiNx	0	1
@riyadhalasaad عندما نشاهد مايجري في سوريا من قتل للإطفال والنساء من قوات الأسد وطيران المجرم بوتن تقطر قلوبنا دمانحن نشارككم الألم والعذاب	0	0
ما تغيب كثير عنا ؛ غيبتك عم تقتلنا حبيب القلب توحشتك بزاف  #رامي_عياش  #أمير_الليل @RamyAyach	0	1
كل مرة جورج ياسمين بقدم الاخبار بحط ايدي ع قلبي ليقطع قطوع الرئيس ميشال .....عون 😟😳	0	0
عقول زباله تسئ لرجل كبر اجدادهم فعلا العرب تربيتهم صفر #بالعربي	0	0
