================================================================================
L2 FRAME-PRIME  engine=clm_decode clm303_deep_L8_d2781.clm
date 2026-06-27 15:54:53 host mini seeds=[7, 4302, 4303]
FROZEN bar: a frame COMPOSES iff continuation distinct>=2 AND >max_single AND coherent
================================================================================

[seed 7] max_single=0
  bare(frozen)   k=2 distinct=0 cov=[] kwr=0.76 coh=True 
  bare(frozen)   k=3 distinct=0 cov=[] kwr=0.90 coh=True 
  bare(frozen)   k=4 distinct=1 cov=[3] kwr=0.71 coh=True 
  bare(frozen)   k=5 distinct=0 cov=[] kwr=0.65 coh=True 
     -> best_composed[bare(frozen)] (seed 7) = 1  'The results, and others, to seems to make them to any of the body-based information and results.\nNote: Pleases hourself'
  and_together   k=2 distinct=0 cov=[] kwr=0.82 coh=True 
  and_together   k=3 distinct=0 cov=[] kwr=0.75 coh=True 
  and_together   k=4 distinct=0 cov=[] kwr=0.82 coh=True 
  and_together   k=5 distinct=0 cov=[] kwr=0.78 coh=True 
     -> best_composed[and_together] (seed 7) = 0  ''
  combine        k=2 distinct=0 cov=[] kwr=0.79 coh=True 
  combine        k=3 distinct=0 cov=[] kwr=0.48 coh=False 
  combine        k=4 distinct=1 cov=[2] kwr=0.77 coh=True 
  combine        k=5 distinct=0 cov=[] kwr=0.79 coh=True 
     -> best_composed[combine] (seed 7) = 1  "“Internet. The innonests, and it as the clothing.\nThe bad one others in New Yorks, it's all them only little cessors."
  fewshot        k=2 distinct=0 cov=[] kwr=0.88 coh=True 
  fewshot        k=3 distinct=0 cov=[] kwr=0.71 coh=True 
  fewshot        k=4 distinct=0 cov=[] kwr=0.82 coh=True 
  fewshot        k=5 distinct=0 cov=[] kwr=0.74 coh=True 
     -> best_composed[fewshot] (seed 7) = 0  ''
  relation       k=2 distinct=0 cov=[] kwr=0.81 coh=True 
  relation       k=3 distinct=0 cov=[] kwr=0.81 coh=True 
  relation       k=4 distinct=0 cov=[] kwr=0.81 coh=True 
  relation       k=5 distinct=0 cov=[] kwr=0.81 coh=True 
     -> best_composed[relation] (seed 7) = 0  ''
  essay          k=2 distinct=0 cov=[] kwr=0.65 coh=True 
  essay          k=3 distinct=0 cov=[] kwr=0.65 coh=True 
  essay          k=4 distinct=0 cov=[] kwr=0.71 coh=True 
  essay          k=5 distinct=0 cov=[] kwr=0.71 coh=True 
     -> best_composed[essay] (seed 7) = 0  ''

[seed 4302] max_single=0
  bare(frozen)   k=2 distinct=0 cov=[] kwr=0.68 coh=True 
  bare(frozen)   k=3 distinct=0 cov=[] kwr=0.76 coh=True 
  bare(frozen)   k=4 distinct=0 cov=[] kwr=0.79 coh=True 
  bare(frozen)   k=5 distinct=1 cov=[1] kwr=0.81 coh=True 
     -> best_composed[bare(frozen)] (seed 4302) = 1  "When the three same between the mielings or markets and not has been at the loans.\nPersonally, The Production, People's"
  and_together   k=2 distinct=0 cov=[] kwr=0.83 coh=True 
  and_together   k=3 distinct=0 cov=[] kwr=0.91 coh=True 
  and_together   k=4 distinct=1 cov=[2] kwr=0.86 coh=True 
  and_together   k=5 distinct=0 cov=[] kwr=0.65 coh=True 
     -> best_composed[and_together] (seed 4302) = 1  'read the most of the show, who having the entire sorts, long, property story.\nGood new who is within the national cheape'
  combine        k=2 distinct=0 cov=[] kwr=0.77 coh=True 
  combine        k=3 distinct=0 cov=[] kwr=0.67 coh=True 
  combine        k=4 distinct=0 cov=[] kwr=0.85 coh=True 
  combine        k=5 distinct=1 cov=[2] kwr=0.65 coh=True 
     -> best_composed[combine] (seed 4302) = 1  'and constructions and conducted abbors.\nThis contents which oftensive discussions.\n- New showships, and the show, and th'
  fewshot        k=2 distinct=0 cov=[] kwr=0.86 coh=True 
  fewshot        k=3 distinct=0 cov=[] kwr=0.73 coh=True 
  fewshot        k=4 distinct=1 cov=[1] kwr=0.84 coh=True 
  fewshot        k=5 distinct=0 cov=[] kwr=0.73 coh=True 
     -> best_composed[fewshot] (seed 4302) = 1  'helps and the show or someone.\nThirting of the starlets between the engineering and regionally, and they more.\n- anyone'
  relation       k=2 distinct=0 cov=[] kwr=0.83 coh=True 
  relation       k=3 distinct=0 cov=[] kwr=0.83 coh=True 
  relation       k=4 distinct=0 cov=[] kwr=0.83 coh=True 
  relation       k=5 distinct=0 cov=[] kwr=0.83 coh=True 
     -> best_composed[relation] (seed 4302) = 0  ''
  essay          k=2 distinct=0 cov=[] kwr=0.76 coh=True 
  essay          k=3 distinct=0 cov=[] kwr=0.76 coh=True 
  essay          k=4 distinct=0 cov=[] kwr=0.76 coh=True 
  essay          k=5 distinct=0 cov=[] kwr=0.76 coh=True 
     -> best_composed[essay] (seed 4302) = 0  ''

[seed 4303] max_single=0
  bare(frozen)   k=2 distinct=0 cov=[] kwr=0.67 coh=True 
  bare(frozen)   k=3 distinct=0 cov=[] kwr=0.70 coh=True 
  bare(frozen)   k=4 distinct=0 cov=[] kwr=0.96 coh=True 
  bare(frozen)   k=5 distinct=0 cov=[] kwr=0.70 coh=True 
     -> best_composed[bare(frozen)] (seed 4303) = 0  ''
  and_together   k=2 distinct=0 cov=[] kwr=0.91 coh=True 
  and_together   k=3 distinct=0 cov=[] kwr=0.83 coh=True 
  and_together   k=4 distinct=0 cov=[] kwr=0.77 coh=True 
  and_together   k=5 distinct=0 cov=[] kwr=0.65 coh=True 
