A|single|0	the school dessited the score cale scene
A|single|1	are an ama seen retermen reed meeer des 
A|single|2	the emper meeeee eeeeee e eeeee eee eee 
A|single|3	the reeding  reeree reearee reee reelen 
A|single|4	exere deread reeduce exeeeeeeeeeeeeeeeee
A|comp|2	and eme yeae exeexen exer  and ere my se
A|comp|3	and at ture term peain meel trieve recor
A|comp|4	the sions really in the soil may traffic
A|comp|5	the chartered textures meets to readie a
C|comp|2	deer deek eer reel deer enareen and  ree
C|comp|3	meete tes tree  meea meee peee meeere ne
C|comp|4	the simpperation presence  meece tex red
C|comp|5	the ccanding meect state is a neartibula
D|comp|2	beeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee bee
D|comp|3	beeeeeeeeeeeeeeeeeeee beeeeeeeeeeeeee be
D|comp|4	beebeebeebeebeebeebeebeebeebeebeebeebeeb
