0	0	a deep steep sided valley carved by a river between high rock cliffs over ages
0	1	a dea dea dea dea de
0	2	xxxxxxxxxxxxxxxxxxxxxx
0	3	12 34 56 78 90 12 34
1	0	a cold treeless arctic plain where frozen subsoil permafrost blocks deep roots
1	1	a coa coa coa coa co
1	2	xxxxxxxxxxxxxxxxxxxxxx
1	3	12 34 56 78 90 12 34
2	0	a large christian church with tall vaulted stone arches and a bishop seat
2	1	a laa laa laa laa la
2	2	xxxxxxxxxxxxxxxxxxxxxx
2	3	12 34 56 78 90 12 34
3	0	a large wooden string instrument played with a bow held upright between the knees
3	1	a laa laa laa laa la
3	2	xxxxxxxxxxxxxxxxxxxxxx
3	3	12 34 56 78 90 12 34
4	0	a desert arachnid with eight legs pincer claws and a venomous curved stinger tail
4	1	a dea dea dea dea de
4	2	xxxxxxxxxxxxxxxxxxxxxx
4	3	12 34 56 78 90 12 34
5	0	a tower with rotating sails that harness moving air to grind grain or pump water
5	1	a toa toa toa toa to
5	2	xxxxxxxxxxxxxxxxxxxxxx
5	3	12 34 56 78 90 12 34
6	0	a light handheld canopy on a stick that shades a person from bright sunlight
6	1	a lia lia lia lia li
6	2	xxxxxxxxxxxxxxxxxxxxxx
6	3	12 34 56 78 90 12 34
7	0	a mound of soil built by a colony of tiny insects housing tunnels for their queen
7	1	a moa moa moa moa mo
7	2	xxxxxxxxxxxxxxxxxxxxxx
7	3	12 34 56 78 90 12 34
8	0	an optical instrument with lenses that magnifies tiny objects invisible to the eye
8	1	an oan oan oan oan o
8	2	xxxxxxxxxxxxxxxxxxxxxx
8	3	12 34 56 78 90 12 34
9	0	a sudden downhill collapse of rock soil and mud sliding along a steep unstable slope
9	1	a sua sua sua sua su
9	2	xxxxxxxxxxxxxxxxxxxxxx
9	3	12 34 56 78 90 12 34
10	0	an ancient timekeeping device casting a shadow from a gnomon onto marked hour lines
10	1	an aan aan aan aan a
10	2	xxxxxxxxxxxxxxxxxxxxxx
10	3	12 34 56 78 90 12 34
11	0	a green leafy flowerless plant that reproduces by spores with feathery curling fronds
11	1	a gra gra gra gra gr
11	2	xxxxxxxxxxxxxxxxxxxxxx
11	3	12 34 56 78 90 12 34
12	0	a raised wooden platform on posts extending from shore over water for boats to dock
12	1	a raa raa raa raa ra
12	2	xxxxxxxxxxxxxxxxxxxxxx
12	3	12 34 56 78 90 12 34
13	0	a severe winter storm with heavy blowing snow strong howling wind and low visibility
13	1	a sea sea sea sea se
13	2	xxxxxxxxxxxxxxxxxxxxxx
13	3	12 34 56 78 90 12 34
14	0	a naturally magnetic mineral rock that attracts iron and points toward the far north
14	1	a naa naa naa naa na
14	2	xxxxxxxxxxxxxxxxxxxxxx
14	3	12 34 56 78 90 12 34
15	0	a tall vertical pole rising from a ship deck that holds up the sails and the rigging
15	1	a taa taa taa taa ta
15	2	xxxxxxxxxxxxxxxxxxxxxx
15	3	12 34 56 78 90 12 34
