================================================================================
L2 FRAME-PRIME  engine=clm_decode clm303_deep_L8_d2781.clm
date 2026-06-27 16:02:44 host summer-B650M-K seeds=[7, 4302, 4303]
FROZEN bar: a frame COMPOSES iff continuation distinct>=2 AND >max_single AND coherent
================================================================================

[seed 7] max_single=0
  bare(frozen)   k=2 distinct=0 cov=[] kwr=0.95 coh=True 
  bare(frozen)   k=3 distinct=0 cov=[] kwr=0.95 coh=True 
  bare(frozen)   k=4 distinct=1 cov=[3] kwr=0.95 coh=True 
  bare(frozen)   k=5 distinct=0 cov=[] kwr=0.85 coh=True 
     -> best_composed[bare(frozen)] (seed 7) = 1  'The results, and others, to seems to make them to any of the body-based information and results.\nNote: Pleases hourself'
  and_together   k=2 distinct=0 cov=[] kwr=0.95 coh=True 
  and_together   k=3 distinct=0 cov=[] kwr=0.88 coh=True 
  and_together   k=4 distinct=0 cov=[] kwr=0.95 coh=True 
  and_together   k=5 distinct=0 cov=[] kwr=0.87 coh=True 
     -> best_composed[and_together] (seed 7) = 0  ''
  combine        k=2 distinct=0 cov=[] kwr=0.89 coh=True 
  combine        k=3 distinct=0 cov=[] kwr=0.62 coh=True 
  combine        k=4 distinct=1 cov=[2] kwr=0.86 coh=True 
  combine        k=5 distinct=0 cov=[] kwr=0.89 coh=True 
     -> best_composed[combine] (seed 7) = 1  "“Internet. The innonests, and it as the clothing.\nThe bad one others in New Yorks, it's all them only little cessors."
  fewshot        k=2 distinct=0 cov=[] kwr=0.92 coh=True 
  fewshot        k=3 distinct=0 cov=[] kwr=0.90 coh=True 
  fewshot        k=4 distinct=0 cov=[] kwr=0.95 coh=True 
  fewshot        k=5 distinct=0 cov=[] kwr=0.89 coh=True 
     -> best_composed[fewshot] (seed 7) = 0  ''
  relation       k=2 distinct=0 cov=[] kwr=0.90 coh=True 
  relation       k=3 distinct=0 cov=[] kwr=0.90 coh=True 
  relation       k=4 distinct=0 cov=[] kwr=0.90 coh=True 
  relation       k=5 distinct=0 cov=[] kwr=0.90 coh=True 
     -> best_composed[relation] (seed 7) = 0  ''
  essay          k=2 distinct=0 cov=[] kwr=0.91 coh=True 
  essay          k=3 distinct=0 cov=[] kwr=0.91 coh=True 
  essay          k=4 distinct=0 cov=[] kwr=0.86 coh=True 
  essay          k=5 distinct=0 cov=[] kwr=0.86 coh=True 
     -> best_composed[essay] (seed 7) = 0  ''

[seed 4302] max_single=0
  bare(frozen)   k=2 distinct=0 cov=[] kwr=0.74 coh=True 
  bare(frozen)   k=3 distinct=0 cov=[] kwr=0.95 coh=True 
  bare(frozen)   k=4 distinct=0 cov=[] kwr=1.00 coh=True 
  bare(frozen)   k=5 distinct=1 cov=[1] kwr=0.95 coh=True 
     -> best_composed[bare(frozen)] (seed 4302) = 1  "When the three same between the mielings or markets and not has been at the loans.\nPersonally, The Production, People's"
  and_together   k=2 distinct=0 cov=[] kwr=1.00 coh=True 
  and_together   k=3 distinct=0 cov=[] kwr=0.91 coh=True 
  and_together   k=4 distinct=1 cov=[2] kwr=0.95 coh=True 
  and_together   k=5 distinct=0 cov=[] kwr=0.88 coh=True 
     -> best_composed[and_together] (seed 4302) = 1  'read the most of the show, who having the entire sorts, long, property story.\nGood new who is within the national cheape'
  combine        k=2 distinct=0 cov=[] kwr=0.86 coh=True 
  combine        k=3 distinct=0 cov=[] kwr=0.76 coh=True 
  combine        k=4 distinct=0 cov=[] kwr=0.95 coh=True 
  combine        k=5 distinct=1 cov=[2] kwr=0.82 coh=True 
     -> best_composed[combine] (seed 4302) = 1  'and constructions and conducted abbors.\nThis contents which oftensive discussions.\n- New showships, and the show, and th'
