A|single|0	the the the the te te te te te tee te te
A|single|1	deer exere reereer ereer reed ereer deer
A|single|2	the meets meeeeeeee meeeeeeeee meeeeeeee
A|single|3	the the state steere s sere s are and se
A|single|4	exere deread reeduce exeeeeeeeeeeeeeeeee
A|comp|2	and care exere exere exerect exerect exe
A|comp|3	and tere tere the tere tere tere tere th
A|comp|4	the and compation meets the compation me
A|comp|5	the meetary summer expansemble. the meet
C|comp|2	deeter exere reereer ereer ereer ereer e
C|comp|3	meet exere exerement exere and exere exe
C|comp|4	the meets trans are and can be and and a
C|comp|5	the altere meets the altere meets the me
D|comp|2	beeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee bee
D|comp|3	beeeeeeeeeeeeeeeeeeee beeeeeeeeeeeee bee
D|comp|4	beebeebeebeebeebeebeebeebeebeebeebeebeeb
D|comp|5	bee?emond the marble compass marbing mov
