A|single|0	the mere n exeence  meee meeee meeeeeeee
A|single|1	leearen meeeeee ereer reearee ereer  dee
A|single|2	tenextore neet to in peee neel meeeeer e
A|single|3	the the or exember set or anoe obee seor
A|single|4	exere deread weeed eeeeeeeeeeeeeeeeeeeee
A|comp|2	or sure eeeer terme  pea a bee reae is c
A|comp|3	anie erecorde to feee, tnee  ceean exper
A|comp|4	the meets and a more undertay merisember
A|comp|5	the alreahen days and demand are allong 
C|comp|2	desiere eme exor releus remebee mane exe
C|comp|3	meae meeen redient tegee mee, meere seez
C|comp|4	the tart coralizes rebeef corampedes of 
C|comp|5	neud at the tabbe and at the mingle pati
D|comp|2	beeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee bee
D|comp|3	beeeeeeeeeeeeeeeeeeee beeeeeeeeeeeeeee b
D|comp|4	beebeebeebeebeebeebeebeebeebeebeebeebeeb
D|comp|5	bee?emond to beemon the clay and compass
